order_id,customer_name,order_status,total_price,order_date,old_status,new_status,status_change_date,changed_by_user,audit_operation,audit_date,details
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:25:51.047388,Customer User,update,2026-01-10 17:20:39.57705,Заказ оплачен через SBP
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:25:51.047388,Customer User,update,2026-01-10 17:20:39.580519,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:25:51.047388,Customer User,insert,2026-01-10 17:25:51.023582,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:25:51.047388,Customer User,update,2026-01-10 17:25:51.039406,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:25:51.047388,Customer User,update,2026-01-10 17:25:51.063824,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:25:51.047388,Customer User,insert,2026-01-10 17:58:21.993726,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:25:51.047388,Customer User,update,2026-01-10 17:58:22.001409,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:25:51.047388,Customer User,update,2026-01-10 17:58:22.008375,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,update,2026-01-10 17:20:39.580519,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,update,2026-01-10 17:58:22.008375,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,update,2026-01-10 17:20:34.026814,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,insert,2026-01-10 17:20:29.883357,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,insert,2026-01-10 17:58:21.993726,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,update,2026-01-10 17:20:39.57705,Заказ оплачен через SBP
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,update,2026-01-10 17:58:22.001409,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,insert,2026-01-10 17:20:34.007575,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,insert,2026-01-10 17:20:39.572262,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,update,2026-01-10 17:25:51.039406,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,update,2026-01-10 17:20:29.906257,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,update,2026-01-10 17:20:34.013963,Заказ оплачен через E-Wallet
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,insert,2026-01-10 17:25:51.023582,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,update,2026-01-10 17:20:29.890337,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:39.578837,Customer User,update,2026-01-10 17:25:51.063824,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,update,2026-01-10 17:20:34.013963,Заказ оплачен через E-Wallet
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,insert,2026-01-10 17:25:51.023582,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,update,2026-01-10 17:20:29.890337,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,update,2026-01-10 17:25:51.039406,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,update,2026-01-10 17:20:34.026814,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,update,2026-01-10 17:25:51.063824,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,insert,2026-01-10 17:58:21.993726,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,insert,2026-01-10 17:20:29.883357,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,update,2026-01-10 17:58:22.001409,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,update,2026-01-10 17:20:39.580519,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,update,2026-01-10 17:58:22.008375,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,insert,2026-01-10 17:20:34.007575,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,update,2026-01-10 17:20:29.906257,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,update,2026-01-10 17:20:39.57705,Заказ оплачен через SBP
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:34.021327,Customer User,insert,2026-01-10 17:20:39.572262,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,update,2026-01-10 17:20:29.890337,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,update,2026-01-10 17:58:22.008375,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,update,2026-01-10 17:25:51.039406,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,insert,2026-01-10 17:20:34.007575,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,update,2026-01-10 17:20:39.57705,Заказ оплачен через SBP
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,update,2026-01-10 17:20:34.026814,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,update,2026-01-10 17:20:29.906257,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,update,2026-01-10 17:20:34.013963,Заказ оплачен через E-Wallet
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,insert,2026-01-10 17:20:39.572262,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,insert,2026-01-10 17:58:21.993726,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,update,2026-01-10 17:20:39.580519,Status changed from pending to completed
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,update,2026-01-10 17:58:22.001409,Заказ оплачен через Credit Card
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,insert,2026-01-10 17:25:51.023582,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,insert,2026-01-10 17:20:29.883357,Создан новый заказ на сумму 200.000000
1,Customer User,completed,200.00,2026-01-08 23:58:16.203,pending,completed,2026-01-10 17:20:29.896478,Customer User,update,2026-01-10 17:25:51.063824,Status changed from pending to completed
